a1,a2,a3,a4,p
5,1,3,1,3
4,2,3,2,16
3,1,2,1,8
0,1,2,0,9
3,2,3,3,16
4,1,2,3,13
2,0,1,1,5
3,1,3,3,8
4,3,0,2,9
3,1,1,1,5
2,1,1,2,3
1,3,2,1,6
0,1,2,0,3
2,2,2,1,6
6,1,0,2,11
6,2,2,2,4
2,3,2,2,12
0,2,2,2,13
4,1,3,2,3
1,1,1,2,11
5,1,2,2,1
1,1,0,1,13
3,2,3,1,4
2,1,0,2,7
2,1,1,1,6
3,2,2,1,13
1,0,2,1,6
0,1,0,1,4
2,3,1,2,16
1,2,1,3,13
2,1,1,0,4
5,2,2,2,13
0,3,2,1,7
5,1,0,3,14
4,2,2,0,14
0,1,0,3,12
4,2,1,0,15
0,2,2,0,7
3,0,0,1,2
1,3,3,2,4
4,2,2,1,5
5,1,0,0,3
2,2,2,3,11
6,1,0,1,4
3,3,2,2,4
5,2,0,3,9
6,3,2,1,6
2,2,3,3,7
1,0,2,1,11
3,1,2,1,13
6,0,1,3,9
5,2,0,3,11
5,1,3,1,5
3,2,0,3,12
2,1,3,2,5
5,2,1,1,9
5,2,1,0,6
1,1,1,1,1
6,2,2,2,12
3,3,3,1,7
6,0,0,2,7
1,2,2,3,3
4,0,1,3,8
5,0,0,2,4
5,3,1,2,1
4,2,1,2,5
1,1,0,2,8
0,2,1,0,9
1,2,2,0,3
3,0,3,2,12
4,2,1,3,3
4,2,2,2,9
5,1,2,1,7
3,2,1,0,16
2,2,2,1,15
1,0,2,2,5
4,2,1,2,5
0,2,2,0,15
2,1,3,1,10
2,3,1,3,4
5,2,2,3,7
2,1,3,1,10
3,2,0,2,1
1,1,1,0,10
3,1,0,2,4
5,3,1,3,14
4,0,3,1,8
4,3,1,0,10
6,2,0,2,9
0,1,0,3,9
2,2,2,1,6
1,0,0,1,10
2,0,0,0,3
0,3,1,1,10
2,1,2,1,11
5,2,0,1,2
3,1,3,2,14
4,1,2,3,12
5,2,3,1,2
1,2,1,1,4